Home Team;Away Team;Score;Half Time Score;Match Excitement;Home Team Rating;Away Team Rating;Home Team Possession %;Away Team Possession %;Home Team Off Target Shots;Home Team On Target Shots;Home Team Total Shots;Home Team Blocked Shots;Home Team Corners;Home Team Throw Ins;Home Team Pass Success %;Home Team Aerials Won;Home Team Clearances;Home Team Fouls;Home Team Yellow Cards;Home Team Second Yellow Cards;Home Team Red Cards;Away Team Off Target Shots;Away Team On Target Shots;Away Team Total Shots;Away Team Blocked Shots;Away Team Corners;Away Team Throw Ins;Away Team Pass Success %;Away Team Aerials Won;Away Team Clearances;Away Team Fouls;Away Team Yellow Cards;Away Team Second Yellow Cards;Away Team Red Cards
EIBAR;GETAFE;0-1;0-0;3.2;4.7;6.2;53;47;3;3;6;0;3;32;58;42;23;16;5;0;1;2;3;6;1;8;35;53;33;20;15;1;0;0
REAL BETIS;ATHLETIC;3-2;3-1;7.2;6.5;5.2;49;51;3;6;10;1;3;20;78;13;18;12;2;0;0;4;2;8;2;3;32;77;21;8;15;4;0;0
VALLADOLID;REAL SOCIEDAD;0-0;0-0;2.2;6.3;6.3;33;67;2;2;4;0;1;24;65;12;18;10;0;0;0;9;2;16;5;4;25;82;24;10;19;4;0;0
LEGAN心;CELTA;3-2;2-0;8.4;6.8;5.3;33;67;3;8;15;4;3;22;70;17;24;14;3;0;0;4;4;9;1;5;22;82;22;22;11;4;1;0
OSASUNA;SEVILLA FC;1-1;1-1;4.9;6.1;6.3;39;61;8;1;10;1;2;22;68;22;21;22;3;1;0;5;4;13;4;6;22;78;20;24;10;4;0;0
ALAV心;LEGAN心;1-1;0-1;3.5;6.3;5.9;68;32;4;3;10;3;2;37;76;37;12;14;2;0;0;1;1;3;1;0;24;55;27;29;17;3;0;0
GRANADA;LEVANTE;1-2;0-0;6.7;5.5;6.7;48;52;9;4;18;5;8;28;73;15;14;14;4;0;0;5;6;13;2;6;26;73;16;16;12;3;0;0
REAL SOCIEDAD;BARCELONA;2-2;1-1;7.9;6.4;6.5;53;47;9;5;19;5;8;15;88;5;12;7;0;0;0;3;5;9;1;5;15;86;15;25;8;1;0;0
ATHLETIC;EIBAR;0-0;0-0;2.2;6.1;6;55;45;2;3;8;3;6;40;73;50;36;7;3;0;0;5;2;8;1;7;30;61;36;23;12;3;0;0
ATLETICO MADRID;OSASUNA;2-0;0-0;5.4;7.2;5;47;53;8;9;19;2;6;9;73;29;18;16;1;0;0;8;3;15;4;5;23;72;24;10;10;1;0;0
GETAFE;VALLADOLID;2-0;1-0;4;6.3;5.6;45;55;4;3;7;0;4;28;67;18;18;28;3;0;0;2;3;10;5;3;28;71;21;11;10;3;0;0
CELTA;MALLORCA;2-2;1-1;7.2;6.4;5.5;67;33;7;7;18;4;3;31;83;23;15;14;3;0;0;3;2;8;3;3;27;64;15;20;16;4;1;0
ESPANYOL;REAL BETIS;2-2;2-1;6.9;5.8;6.6;38;62;3;4;16;9;7;19;65;28;14;26;4;0;0;3;5;10;2;5;19;78;24;24;13;1;0;0
SEVILLA FC;VILLARREAL;1-2;0-1;5.9;6;6.5;72;28;9;5;24;10;14;32;89;14;1;12;2;0;0;4;3;9;2;2;18;74;14;49;11;0;0;0
VALENCIA;REAL MADRID;1-1;0-0;5.7;6.3;6.1;36;64;2;6;9;1;1;15;81;14;22;11;1;0;0;8;6;19;5;2;16;91;13;6;15;2;0;0
EIBAR;GRANADA;3-0;2-0;6;7.5;4.4;50;50;10;7;21;4;5;20;67;39;25;17;3;0;0;6;1;12;5;5;27;59;45;25;13;3;0;0
MALLORCA;SEVILLA FC;0-2;0-1;4.1;5.1;7.3;39;61;5;1;8;2;3;23;77;14;14;15;5;0;0;6;6;13;1;6;26;81;19;25;12;3;0;0
BARCELONA;ALAV心;4-1;2-0;5.5;7.6;4.7;69;31;2;4;8;2;3;14;90;10;2;10;2;0;0;2;3;5;0;4;13;77;9;9;11;4;0;0
VILLARREAL;GETAFE;1-0;0-0;3.3;6.3;4.9;65;35;6;4;11;1;2;20;78;26;21;8;2;0;0;7;0;7;0;5;26;57;15;16;18;4;1;0
VALLADOLID;VALENCIA;1-1;0-0;5;6.4;6.2;48;52;4;6;14;4;5;15;82;8;14;10;0;0;0;3;2;5;0;4;22;83;12;17;12;3;0;0
LEGAN心;ESPANYOL;2-0;1-0;3.8;6.8;4.8;41;59;5;5;11;1;1;23;54;18;19;11;1;0;0;3;3;9;3;5;31;68;18;10;15;6;0;0
OSASUNA;REAL SOCIEDAD;3-4;1-3;10;5;6.7;47;53;7;7;19;5;8;31;70;21;13;11;6;0;1;4;7;13;2;3;23;75;10;29;12;2;0;0
REAL BETIS;ATLETICO MADRID;1-2;0-0;6.9;5.5;6.9;67;33;7;2;15;6;5;34;87;10;14;11;4;0;0;2;5;8;1;3;14;76;23;24;14;3;0;0
LEVANTE;CELTA;3-1;0-1;6.8;7.1;5.4;49;51;3;7;13;3;8;28;80;12;15;8;3;0;0;5;5;12;2;7;16;80;13;20;15;6;0;0
REAL MADRID;ATHLETIC;0-0;0-0;4.1;6.6;6.3;69;31;8;8;20;4;6;16;90;15;10;8;1;0;0;4;2;8;2;4;14;72;18;33;14;0;0;0
VALLADOLID;LEGAN心;2-2;1-2;6.8;6.1;6.3;64;36;6;5;14;3;4;24;81;27;11;16;3;0;0;7;5;12;0;3;18;67;27;20;13;2;0;0
SEVILLA FC;ATHLETIC;1-1;0-1;4;6.3;6;65;35;5;2;9;2;9;29;82;28;6;16;2;0;0;4;1;6;1;1;11;66;30;26;20;4;0;0
VALENCIA;EIBAR;1-0;1-0;3.4;6.3;5.9;51;49;4;1;9;4;6;19;79;31;25;13;1;0;0;3;3;10;4;5;24;76;24;11;20;2;1;0
GETAFE;REAL MADRID;0-3;0-1;5.7;4.4;8;44;56;6;4;15;5;7;33;64;14;8;20;3;0;0;2;8;10;1;4;28;73;34;38;14;2;0;0
ATLETICO MADRID;LEVANTE;2-1;2-1;5.8;7.1;5.3;40;60;7;8;17;2;5;22;78;25;21;9;1;0;0;2;3;6;1;5;22;81;13;14;10;3;0;0
